,
Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,Apply
Make a diorama to illustrate an important event.,Apply
Apply the storytelling technique here to a little story of your own.,Apply
Make a radio announcement that advertise the book. Write it out.,Create
Would this information be useful if you had a . . .?,Apply
How could you re-write this story with a city setting?,Create
Design a new animal to live in the jungle.,Create
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Apply
Relate topographic map to field features,Apply
Describe nuclear transport to a lay person.,Understand
Demonstrate how this could work in an industry setting?,Apply
Select the best title for a passage,Understand
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Apply
How would you decide about...?,Evaluate
"In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Apply
How many years does this animal live?,Remember
Compare this book to the last book you read.,Analyse
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Apply
What criteria would you use to assess the validity of a business contract?,Evaluate
Compare historical events to contemporary situations,Understand
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Understand
Correctly label the brain lobes indicated on the diagram below,Remember
In one sentence explain the main idea of a written passage.,Understand
Decide which method of solving a problem was most effective ,Evaluate
Recite the principles of the Data Protection Act.,Remember
Create plan of local environment by drawing around boxes.,Create
List three predominant economic systems that exist,Remember
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,Evaluate
Summarize this magazine article.,Understand
Are you a . . . person?,Evaluate
Can you design a . . . to . . .?,Create
"Contrast the treatment of well known trademarks provided by Paris Article and by TRIPS Article """"ontrast the treatment of ""well known"" trademarks provided by Paris Art""""ntrast the treatment of ""well known"" tradema""""trast the treatment""""""ontrast the treatment of well known"" trademarks provided by Paris Article and by TRIPS Article """"ontrast the treatment of ""well known"" trademarks provided by Paris Art""""ntrast the treatment of ""well """"ntrast the treatment of well known"" trademarks provided by Paris Article and by TRIPS Article """"ontrast the treatment of ""well known"" trademarks provided by Paris """"trast the treatment of well known"" trademarks provided by Paris Article and by TRIPS Article """"ontrast the treatment of ""well kn""""rast the treatment of well known"" trademarks provided by Paris Article and by TRIPS Article """"""""ast the treatment of well known"" trademarks provided by Paris""""st the treatment of well know""",Analyse
Specify the thickness of a galvanized coating based on atmospheric data? (level 2) ,Apply
"Given the data available on a research question, take a position and defend it.",Evaluate
" Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Understand
Summarize a historical document,Understand
Can you distinguish pot still rums from column still rums by taste,Analyse
State the pattern for expressing time in French.,Remember
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Create
Choose a character. Rewrite a scene from the story from this character's point of view.,Create
Explain in your own words what is meant by mercantilism.,Understand
Compose a simple rap or rhyme about zoo animals.,Create
"Award the contract to the best proposal. Rank the principles of good sportsmanship in order of importance to you.""""ward the contract to the best proposal. Rank the p""""""ward the contract to the best proposal. Rank the principles of good sportsmanship"" i""""ar""",Evaluate
What are the parts or features of...?,Analyse
Summarize the basic tenets of collaborative conservation.,Understand
Identify the standard peripheral components of a computer.,Remember
"Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process? ",Analyse
Evaluate board games and justify why rules are important.,Evaluate
Determine if a character’s actions were heroic ,Evaluate
 Develop a network based on the following information: Activity Immediate predecessors,Create
Make a paper-mache map to include relevant information about an event.,Apply
Predict what will happen next in.,Evaluate
What changes to . . . would you recommend?,Evaluate
Decide which course of action was most effective ,Evaluate
Compose a device that would assist an athlete in their training.,Create
Inspect the pattern of GPS positions relative to the “known” published value,Analyse
Do you think . . . is a good or a bad thing?,Evaluate
Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,Create
Combine any two sports to develop a new Olympic sport.,Create
How could we determine the number of pennies in a jar without counting them?,Create
Would you solve these two problems using similar approaches,Apply
How much did he pay for his car,Remember
who was the first to compose in the arts of makamat,Remember
Was Hemingway a great American writer? First you will need to define greatness.,Evaluate
Differentiate between the following terms along with appropriate examples,Analyse
who was the first man on the moon,Remember
Which of the following is the method for determining the volume of a cylinder?,Remember
analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your analysis.,Analyse
Recall the following pictoral example of an implementation of some queue operations,Remember
"Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",Analyse
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluate
" How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analyse
Define compound interest.,Remember
Label any Olympic sporting apparatus with design features.,Remember
When did you born ?,Remember
 Estimate the risk of serious illness for consumers in different susceptible population groups,Evaluate
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Understand
Construct a dictionary and a truth table to determine if the following statements are logically equivalent,Apply
How to combine virtual symmetry and symbolic model checking effectively,Create
How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluate
Classify celebrations into family and community categories.,Understand
Explain the whole method of crushing,Understand
Decide which candidate would best fill the position of principal.,Evaluate
Integrate training from several sources to solve a problem.,Create
What happens if you change the direction of the displacement (but not its size)?,Apply
Determine the next number in a sequence,Understand
Draw the flow chart of the PNK system,Remember
Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,Apply
How would you investigate this abnormality,Analyse
Explain the possible uses described in class for the space to the left of the vertical line.,Understand
Why not compose a song about . . .?,Create
Place the following in order of priority...,Evaluate
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluate
List the characteristics peculiar to the Cubist movement.,Remember
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Understand
Develop a hypothesis.,Create
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analyse
"In your own words, tell what is meant by the definition of an isosceles triangle.",Understand
How would you change the story to create a different ending?,Create
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Create
Identify a phrase as a simile,Remember
"Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",Create
Compare three celebrations using a Venn diagram.,Analyse
How many ways can you . . .?,Create
State how to find a word in a dictionary,Remember
Label the parts of the following insects: Grasshopper,Remember
"Develop a way to teach the concept of adjectives.""""evelop a way""""""evelop a way to """,Create
Show me how you would check the brake lights are working on this car,Apply
Construct a model to demonstrate how it will work.,Apply
Design a building according to given specifications,Create
 How can we combine and abstract facts about a software system to create new knowledge?,Create
Contrast the Valles Marineris on Mars with the Grand Canyon,Analyse
Construct a Venn diagram to determine the validity of the given argument.,Apply
